Uid,Sid,Key,Time,Category,Value,UpdateTime
8179717515,786311415,core_training,1729776819,core_training,"{""min_hrm"":90,""avg_hrm"":118,""version"":8,""hrm_warm_up_duration"":578,""duration"":1478,""calories"":106,""did"":""786311415"",""train_load"":13,""hrm_anaerobic_duration"":5,""proto_type"":8,""cloud_course_source"":0,""train_load_level"":1,""time"":1729776819,""target_value"":{},""timezone"":8,""end_time"":1729778298,""sport_type"":303,""recover_time"":96,""vitality"":1,""aerobic_train_effect_level"":2,""hrm_aerobic_duration"":145,""train_effect"":1.5,""hrm_fat_burning_duration"":721,""start_time"":1729776819,""max_hrm"":154,""switch_just_dance_id"":1729776819,""valid_duration"":1478,""hrm_extreme_duration"":0,""total_cal"":126}",1730039978
8179717515,786311415,lower_limb_training,1729778566,lower_limb_training,"{""min_hrm"":101,""avg_hrm"":123,""version"":8,""hrm_warm_up_duration"":69,""duration"":341,""calories"":26,""did"":""786311415"",""train_load"":3,""hrm_anaerobic_duration"":0,""proto_type"":8,""cloud_course_source"":0,""train_load_level"":1,""time"":1729778566,""target_value"":{},""timezone"":8,""end_time"":1729778907,""sport_type"":321,""recover_time"":96,""hrm_aerobic_duration"":23,""aerobic_train_effect_level"":2,""train_effect"":1.2,""start_time"":1729778566,""hrm_fat_burning_duration"":241,""max_hrm"":139,""switch_just_dance_id"":1729778566,""valid_duration"":341,""hrm_extreme_duration"":0,""total_cal"":30}",1730039978
8179717515,786311415,outdoor_walking,1729849714,walking,"{""version"":4,""hrm_extreme_duration"":0,""max_cadence"":138,""aerobic_train_effect_level"":2,""max_hrm"":121,""hrm_anaerobic_duration"":0,""max_pace"":526,""hrm_warm_up_duration"":771,""cloud_course_source"":0,""avg_hrm"":98,""time"":1729849714,""train_load"":4,""end_time"":1729850932,""max_speed"":7.056,""hrm_aerobic_duration"":0,""designated_course"":0,""recover_time"":76,""steps"":1870,""duration"":1217,""proto_type"":22,""train_load_level"":1,""sport_type"":2,""timezone"":8,""total_cal"":44,""start_time"":1729849714,""min_pace"":1428,""distance"":1309,""hrm_fat_burning_duration"":62,""target_value"":{},""did"":""786311415"",""calories"":28,""train_effect"":1.2,""min_hrm"":63}",1730039978
8179717515,786311415,aerobics,1729863226,aerobics,"{""version"":8,""train_effect"":2.8,""switch_just_dance_id"":1729863226,""hrm_extreme_duration"":0,""aerobic_train_effect_level"":3,""hrm_anaerobic_duration"":1190,""max_hrm"":172,""hrm_warm_up_duration"":38,""cloud_course_source"":0,""avg_hrm"":153,""time"":1729863226,""anaerobic_train_effect_level"":1,""train_load"":65,""end_time"":1729865030,""hrm_aerobic_duration"":362,""recover_time"":96,""duration"":1803,""proto_type"":8,""train_load_level"":2,""timezone"":8,""total_cal"":234,""valid_duration"":1803,""start_time"":1729863226,""sport_type"":310,""hrm_fat_burning_duration"":196,""target_value"":{},""did"":""786311415"",""calories"":210,""vitality"":4,""anaerobic_train_effect"":0.3,""min_hrm"":111}",1730039978
8179717515,786311415,pilates,1729865080,pilates,"{""version"":8,""switch_just_dance_id"":1729865080,""hrm_extreme_duration"":0,""aerobic_train_effect_level"":2,""hrm_anaerobic_duration"":0,""max_hrm"":143,""hrm_warm_up_duration"":1585,""cloud_course_source"":0,""avg_hrm"":112,""time"":1729865080,""train_load"":18,""end_time"":1729867513,""hrm_aerobic_duration"":37,""recover_time"":96,""proto_type"":8,""duration"":2433,""train_load_level"":1,""sport_type"":305,""timezone"":8,""valid_duration"":2433,""start_time"":1729865080,""total_cal"":190,""hrm_fat_burning_duration"":777,""target_value"":{},""did"":""786311415"",""calories"":157,""vitality"":1,""train_effect"":1.6,""min_hrm"":93}",1730039978
8179717515,786311415,yoga,1729955423,yoga,"{""did"":""786311415"",""target_value"":{},""cloud_course_source"":0,""end_time"":1729956899,""hrm_extreme_duration"":0,""time"":1729955423,""version"":3,""total_cal"":86,""proto_type"":12,""hrm_aerobic_duration"":161,""recover_time"":96,""sport_type"":12,""hrm_anaerobic_duration"":0,""timezone"":8,""duration"":1476,""min_hrm"":86,""start_time"":1729955423,""calories"":66,""valid_duration"":1476,""avg_hrm"":118,""train_effect"":1.5,""max_hrm"":145,""hrm_fat_burning_duration"":694,""hrm_warm_up_duration"":513}",1730039978
8179717515,786311415,free_training,1730213787,free_training,"{""train_load_level"":3,""train_effect"":2.9,""time"":1730213787,""min_hrm"":89,""timezone"":4,""proto_type"":8,""aerobic_train_effect_level"":3,""vitality"":10,""avg_hrm"":150,""calories"":241,""target_value"":{},""train_load"":71,""version"":8,""duration"":2138,""end_time"":1730215926,""start_time"":1730213787,""did"":""786311415"",""switch_just_dance_id"":1730213787,""sport_type"":8,""recover_time"":76,""total_cal"":270,""max_hrm"":187,""anaerobic_train_effect"":0.4,""hrm_extreme_duration"":164,""hrm_anaerobic_duration"":1278,""anaerobic_train_effect_level"":1,""hrm_warm_up_duration"":347,""valid_duration"":2138,""hrm_aerobic_duration"":173,""hrm_fat_burning_duration"":133,""cloud_course_source"":0}",1730218379
8179717515,786311415,aerobics,1730280881,aerobics,"{""sport_type"":310,""total_cal"":255,""hrm_fat_burning_duration"":155,""anaerobic_train_effect"":0.4,""hrm_aerobic_duration"":366,""vitality"":7,""recover_time"":96,""end_time"":1730282871,""hrm_extreme_duration"":46,""aerobic_train_effect_level"":3,""switch_just_dance_id"":1730280881,""train_effect"":2.9,""proto_type"":8,""time"":1730280881,""timezone"":4,""valid_duration"":1990,""hrm_warm_up_duration"":232,""hrm_anaerobic_duration"":1175,""did"":""786311415"",""train_load"":70,""anaerobic_train_effect_level"":1,""train_load_level"":3,""version"":8,""cloud_course_source"":0,""duration"":1990,""calories"":228,""min_hrm"":102,""avg_hrm"":151,""start_time"":1730280881,""max_hrm"":174,""target_value"":{}}",1730282878
8179717515,786311415,lower_limb_training,1730310553,lower_limb_training,"{""vitality"":2,""end_time"":1730313475,""train_load"":24,""proto_type"":8,""hrm_anaerobic_duration"":0,""recover_time"":96,""avg_hrm"":115,""train_load_level"":1,""hrm_extreme_duration"":0,""cloud_course_source"":0,""target_value"":{},""did"":""786311415"",""hrm_warm_up_duration"":1148,""version"":8,""timezone"":4,""hrm_aerobic_duration"":40,""sport_type"":321,""total_cal"":238,""time"":1730310553,""valid_duration"":2922,""aerobic_train_effect_level"":2,""start_time"":1730310553,""hrm_fat_burning_duration"":1611,""switch_just_dance_id"":1730310553,""max_hrm"":148,""train_effect"":1.8,""calories"":198,""duration"":2922,""min_hrm"":86}",1730532261
8179717515,786311415,free_training,1730383765,free_training,"{""vitality"":11,""end_time"":1730388775,""train_load"":91,""proto_type"":8,""hrm_anaerobic_duration"":1446,""recover_time"":96,""avg_hrm"":122,""train_load_level"":3,""hrm_extreme_duration"":48,""cloud_course_source"":0,""did"":""786311415"",""target_value"":{},""hrm_warm_up_duration"":402,""version"":8,""timezone"":4,""hrm_aerobic_duration"":718,""sport_type"":8,""total_cal"":457,""time"":1730383765,""valid_duration"":5009,""aerobic_train_effect_level"":3,""start_time"":1730383765,""hrm_fat_burning_duration"":355,""switch_just_dance_id"":1730383765,""anaerobic_train_effect_level"":1,""max_hrm"":175,""anaerobic_train_effect"":0.3,""train_effect"":2.6,""calories"":389,""duration"":5009,""min_hrm"":72}",1730532261
